violation,region,date_range,age_group,gender,cleared_by_charge,diversionary_program,other_cleared_otherwise,total,year,violation_type,youth_adult,population,year_diff
Possession of cannabis for purpose of exportation,Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Female,NA,NA,NA,NA,2016,Importation-exportation,Adult,31615827,-3
Possession of cannabis for purpose of exportation,Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Male,NA,NA,NA,NA,2016,Importation-exportation,Adult,31615827,-3
Possession of cannabis for purpose of exportation,Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Female,NA,NA,NA,NA,2016,Importation-exportation,Adult,31615827,-3
Possession of cannabis for purpose of exportation,Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Male,NA,NA,NA,NA,2016,Importation-exportation,Adult,31615827,-3
Possession of cannabis for purpose of exportation,Canada,"January 1st, 2016 to December 31st, 2016",35 to 110,Female,NA,NA,NA,NA,2016,Importation-exportation,Adult,31615827,-3
Possession of cannabis for purpose of exportation,Canada,"January 1st, 2016 to December 31st, 2016",35 to 89,Male,NA,NA,NA,NA,2016,Importation-exportation,Adult,31615827,-3
"Obtain, offer to obtain, alter or offer to alter cannabis",Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Female,NA,NA,NA,NA,2016,Production and cultivation,Youth,2528132,-3
"Obtain, offer to obtain, alter or offer to alter cannabis",Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Male,NA,NA,NA,NA,2016,Production and cultivation,Youth,2528132,-3
"Obtain, offer to obtain, alter or offer to alter cannabis",Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Female,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
"Obtain, offer to obtain, alter or offer to alter cannabis",Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Male,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
"Obtain, offer to obtain, alter or offer to alter cannabis",Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Female,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
"Obtain, offer to obtain, alter or offer to alter cannabis",Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Male,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
"Obtain, offer to obtain, alter or offer to alter cannabis",Canada,"January 1st, 2016 to December 31st, 2016",35 to 110,Female,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
"Obtain, offer to obtain, alter or offer to alter cannabis",Canada,"January 1st, 2016 to December 31st, 2016",35 to 89,Male,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
"Cultivate, propagate or harvest cannabis by adult",Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Female,NA,NA,NA,NA,2016,Production and cultivation,Youth,2528132,-3
"Cultivate, propagate or harvest cannabis by adult",Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Male,NA,NA,NA,NA,2016,Production and cultivation,Youth,2528132,-3
"Cultivate, propagate or harvest cannabis by adult",Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Female,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
"Cultivate, propagate or harvest cannabis by adult",Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Male,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
"Cultivate, propagate or harvest cannabis by adult",Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Female,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
"Cultivate, propagate or harvest cannabis by adult",Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Male,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
"Cultivate, propagate or harvest cannabis by adult",Canada,"January 1st, 2016 to December 31st, 2016",35 to 110,Female,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
"Cultivate, propagate or harvest cannabis by adult",Canada,"January 1st, 2016 to December 31st, 2016",35 to 89,Male,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
"Cultivate, propagate or harvest cannabis by youth or organization",Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Female,NA,NA,NA,NA,2016,Production and cultivation,Youth,2528132,-3
"Cultivate, propagate or harvest cannabis by youth or organization",Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Male,NA,NA,NA,NA,2016,Production and cultivation,Youth,2528132,-3
"Cultivate, propagate or harvest cannabis by youth or organization",Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Female,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
"Cultivate, propagate or harvest cannabis by youth or organization",Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Male,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
"Cultivate, propagate or harvest cannabis by youth or organization",Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Female,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
"Cultivate, propagate or harvest cannabis by youth or organization",Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Male,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
"Cultivate, propagate or harvest cannabis by youth or organization",Canada,"January 1st, 2016 to December 31st, 2016",35 to 110,Female,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
"Cultivate, propagate or harvest cannabis by youth or organization",Canada,"January 1st, 2016 to December 31st, 2016",35 to 89,Male,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
"Possess, produce, sell, distribute or import anything for use in production or distribution of illicit cannabis",Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Female,NA,NA,NA,NA,2016,Production and cultivation,Youth,2528132,-3
"Possess, produce, sell, distribute or import anything for use in production or distribution of illicit cannabis",Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Male,NA,NA,NA,NA,2016,Production and cultivation,Youth,2528132,-3
"Possess, produce, sell, distribute or import anything for use in production or distribution of illicit cannabis",Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Female,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
"Possess, produce, sell, distribute or import anything for use in production or distribution of illicit cannabis",Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Male,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
"Possess, produce, sell, distribute or import anything for use in production or distribution of illicit cannabis",Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Female,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
"Possess, produce, sell, distribute or import anything for use in production or distribution of illicit cannabis",Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Male,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
"Possess, produce, sell, distribute or import anything for use in production or distribution of illicit cannabis",Canada,"January 1st, 2016 to December 31st, 2016",35 to 110,Female,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
"Possess, produce, sell, distribute or import anything for use in production or distribution of illicit cannabis",Canada,"January 1st, 2016 to December 31st, 2016",35 to 89,Male,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
Use of young person in the commission of a cannabis offence,Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Female,NA,NA,NA,NA,2016,Other,Youth,2528132,-3
Use of young person in the commission of a cannabis offence,Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Male,NA,NA,NA,NA,2016,Other,Youth,2528132,-3
Use of young person in the commission of a cannabis offence,Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Female,NA,NA,NA,NA,2016,Other,Adult,31615827,-3
Use of young person in the commission of a cannabis offence,Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Male,NA,NA,NA,NA,2016,Other,Adult,31615827,-3
Use of young person in the commission of a cannabis offence,Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Female,NA,NA,NA,NA,2016,Other,Adult,31615827,-3
Use of young person in the commission of a cannabis offence,Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Male,NA,NA,NA,NA,2016,Other,Adult,31615827,-3
Use of young person in the commission of a cannabis offence,Canada,"January 1st, 2016 to December 31st, 2016",35 to 110,Female,NA,NA,NA,NA,2016,Other,Adult,31615827,-3
Use of young person in the commission of a cannabis offence,Canada,"January 1st, 2016 to December 31st, 2016",35 to 89,Male,NA,NA,NA,NA,2016,Other,Adult,31615827,-3
Other Cannabis Act,Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Female,NA,NA,NA,NA,2016,Production and cultivation,Youth,2528132,-3
Other Cannabis Act,Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Male,NA,NA,NA,NA,2016,Production and cultivation,Youth,2528132,-3
Other Cannabis Act,Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Female,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
Other Cannabis Act,Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Male,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
Other Cannabis Act,Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Female,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
Other Cannabis Act,Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Male,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
Other Cannabis Act,Canada,"January 1st, 2016 to December 31st, 2016",35 to 110,Female,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
Other Cannabis Act,Canada,"January 1st, 2016 to December 31st, 2016",35 to 89,Male,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
Operation while impaired (alcohol and drugs),Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Female,NA,NA,NA,NA,2016,Drug impaired driving,Youth,2528132,-3
Operation while impaired (alcohol and drugs),Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Male,NA,NA,NA,NA,2016,Drug impaired driving,Youth,2528132,-3
Operation while impaired (alcohol and drugs),Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Female,NA,NA,NA,NA,2016,Drug impaired driving,Adult,31615827,-3
Operation while impaired (alcohol and drugs),Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Male,NA,NA,NA,NA,2016,Drug impaired driving,Adult,31615827,-3
Operation while impaired (alcohol and drugs),Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Female,NA,NA,NA,NA,2016,Drug impaired driving,Adult,31615827,-3
Operation while impaired (alcohol and drugs),Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Male,NA,NA,NA,NA,2016,Drug impaired driving,Adult,31615827,-3
Operation while impaired (alcohol and drugs),Canada,"January 1st, 2016 to December 31st, 2016",35 to 110,Female,NA,NA,NA,NA,2016,Drug impaired driving,Adult,31615827,-3
Operation while impaired (alcohol and drugs),Canada,"January 1st, 2016 to December 31st, 2016",35 to 89,Male,NA,NA,NA,NA,2016,Drug impaired driving,Adult,31615827,-3
Operation while impaired (drugs),Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Female,7,0,1,8,2016,Drug impaired driving,Youth,2528132,-3
Operation while impaired (drugs),Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Male,35,2,9,46,2016,Drug impaired driving,Youth,2528132,-3
Operation while impaired (drugs),Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Female,91,0,16,107,2016,Drug impaired driving,Adult,31615827,-3
Operation while impaired (drugs),Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Male,501,3,69,573,2016,Drug impaired driving,Adult,31615827,-3
Operation while impaired (drugs),Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Female,173,0,22,195,2016,Drug impaired driving,Adult,31615827,-3
Operation while impaired (drugs),Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Male,639,0,103,742,2016,Drug impaired driving,Adult,31615827,-3
Operation while impaired (drugs),Canada,"January 1st, 2016 to December 31st, 2016",35 to 110,Female,252,1,44,297,2016,Drug impaired driving,Adult,31615827,-3
Operation while impaired (drugs),Canada,"January 1st, 2016 to December 31st, 2016",35 to 89,Male,784,0,129,913,2016,Drug impaired driving,Adult,31615827,-3
Operation while impaired (unspecified),Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Female,NA,NA,NA,NA,2016,Drug impaired driving,Youth,2528132,-3
Operation while impaired (unspecified),Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Male,NA,NA,NA,NA,2016,Drug impaired driving,Youth,2528132,-3
Operation while impaired (unspecified),Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Female,NA,NA,NA,NA,2016,Drug impaired driving,Adult,31615827,-3
Operation while impaired (unspecified),Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Male,NA,NA,NA,NA,2016,Drug impaired driving,Adult,31615827,-3
Operation while impaired (unspecified),Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Female,NA,NA,NA,NA,2016,Drug impaired driving,Adult,31615827,-3
Operation while impaired (unspecified),Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Male,NA,NA,NA,NA,2016,Drug impaired driving,Adult,31615827,-3
Operation while impaired (unspecified),Canada,"January 1st, 2016 to December 31st, 2016",35 to 110,Female,NA,NA,NA,NA,2016,Drug impaired driving,Adult,31615827,-3
Operation while impaired (unspecified),Canada,"January 1st, 2016 to December 31st, 2016",35 to 89,Male,NA,NA,NA,NA,2016,Drug impaired driving,Adult,31615827,-3
Operation while impaired causing bodily harm (alcohol and drugs),Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Female,NA,NA,NA,NA,2016,Drug impaired driving,Youth,2528132,-3
Operation while impaired causing bodily harm (alcohol and drugs),Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Male,NA,NA,NA,NA,2016,Drug impaired driving,Youth,2528132,-3
Operation while impaired causing bodily harm (alcohol and drugs),Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Female,NA,NA,NA,NA,2016,Drug impaired driving,Adult,31615827,-3
Operation while impaired causing bodily harm (alcohol and drugs),Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Male,NA,NA,NA,NA,2016,Drug impaired driving,Adult,31615827,-3
Operation while impaired causing bodily harm (alcohol and drugs),Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Female,NA,NA,NA,NA,2016,Drug impaired driving,Adult,31615827,-3
Operation while impaired causing bodily harm (alcohol and drugs),Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Male,NA,NA,NA,NA,2016,Drug impaired driving,Adult,31615827,-3
Operation while impaired causing bodily harm (alcohol and drugs),Canada,"January 1st, 2016 to December 31st, 2016",35 to 110,Female,NA,NA,NA,NA,2016,Drug impaired driving,Adult,31615827,-3
Operation while impaired causing bodily harm (alcohol and drugs),Canada,"January 1st, 2016 to December 31st, 2016",35 to 89,Male,NA,NA,NA,NA,2016,Drug impaired driving,Adult,31615827,-3
Operation while impaired causing bodily harm (drugs),Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Female,0,0,0,0,2016,Drug impaired driving,Youth,2528132,-3
Operation while impaired causing bodily harm (drugs),Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Male,0,0,0,0,2016,Drug impaired driving,Youth,2528132,-3
Operation while impaired causing bodily harm (drugs),Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Female,3,0,0,3,2016,Drug impaired driving,Adult,31615827,-3
Operation while impaired causing bodily harm (drugs),Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Male,12,0,1,13,2016,Drug impaired driving,Adult,31615827,-3
Operation while impaired causing bodily harm (drugs),Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Female,2,0,0,2,2016,Drug impaired driving,Adult,31615827,-3
Operation while impaired causing bodily harm (drugs),Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Male,9,0,0,9,2016,Drug impaired driving,Adult,31615827,-3
Operation while impaired causing bodily harm (drugs),Canada,"January 1st, 2016 to December 31st, 2016",35 to 110,Female,2,0,0,2,2016,Drug impaired driving,Adult,31615827,-3
Operation while impaired causing bodily harm (drugs),Canada,"January 1st, 2016 to December 31st, 2016",35 to 89,Male,10,0,2,12,2016,Drug impaired driving,Adult,31615827,-3
Operation while impaired causing death (alcohol and drugs),Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Female,NA,NA,NA,NA,2016,Drug impaired driving,Youth,2528132,-3
Operation while impaired causing death (alcohol and drugs),Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Male,NA,NA,NA,NA,2016,Drug impaired driving,Youth,2528132,-3
